Player Name,Club,Position,Appearances,Squawka Score,Goals Scored,Shot Accuracy,POTM,Chances Created,Average Pass Accuracy,Average Pass Length,Duels Won,Average Defensive Actions,Defensive Errors,Yellow Cards,Red Cards,Points
Raphael Diarra,Monaco,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Terence Kongolo,Monaco,Defender,2,23,0,0,0,1,74,18,33,11,0,0,0,42.65,
Jemerson,Monaco,Defender,16,373,2,29,0,1,88,21,48,8,1,6,0,114.45,
Jorge,Monaco,Defender,14,258,0,0,0,10,77,18,49,7,0,6,0,101.23333333333333,
Djibril Sidibe,Monaco,Defender,11,135,1,50,0,13,85,16,43,4,0,3,0,84.78333333333333,
Pierre-Daniel Nguind..,Monaco,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Andrea Raggi,Monaco,Defender,5,35,0,0,0,0,80,20,31,6,0,0,0,38.333333333333336,
Kamil Glik,Monaco,Defender,17,429,2,40,0,6,81,23,48,9,1,3,0,131.9,
Kevin N'Doram,Monaco,Defender,2,13,0,0,0,1,86,19,36,4,0,1,0,21.05,
Almamy Touré,Monaco,Defender,8,21,0,0,0,6,72,16,40,4,0,3,0,53.83333333333333,
Fabinho,Monaco,Midfielder,16,325,2,50,0,17,86,19,50,3,0,4,0,127.4,
Rachid Ghezzal,Monaco,Midfielder,10,84,1,57,0,8,75,17,47,1,0,1,0,68.5,
João Moutinho,Monaco,Midfielder,14,343,1,60,0,29,87,18,40,3,0,3,0,121.45,
Youri Tielemans,Monaco,Midfielder,12,83,0,63,0,9,81,20,43,3,1,0,0,88.2,
Soualiho Meité,Monaco,Midfielder,2,3,0,0,0,1,81,17,31,3,0,0,0,28.6,
Rony Lopes,Monaco,Midfielder,18,106,2,50,0,20,80,15,37,1,0,0,0,124.65,
Gabriel Boschilia,Monaco,Midfielder,3,15,0,100,0,0,100,9,20,0,0,0,0,15.0,
Thomas Lemar,Monaco,Midfielder,11,99,1,25,0,23,85,20,47,1,0,0,0,92.3,
Adama Traoré,Monaco,Midfielder,3,119,3,80,0,1,85,18,65,1,0,1,0,38.25,
Lacina Traoré,Amiens,Forward,7,21,0,100,0,4,61,12,48,1,0,0,0,47.175,
Falcao,Monaco,Forward,15,372,14,60,0,5,75,13,41,1,0,1,0,141.875,
Stevan Jovetic,Monaco,Forward,6,52,2,33,0,2,68,14,39,0,0,0,0,37.65,
Guido Carrillo,Monaco,Forward,14,132,4,55,0,4,64,11,45,1,0,1,0,89.65,
Keita,Monaco,Forward,11,61,3,36,0,6,77,13,47,0,0,1,0,71.575,
Adama Diakhaby,Monaco,Forward,10,31,1,43,0,5,81,15,32,1,0,0,0,61.25,
Jordi Mboula,Monaco,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Moussa Sylla,Monaco,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Mattia De Sciglio,Juventus,Defender,3,102,1,100,0,0,89,17,55,5,0,0,0,38.0,
Giorgio Chiellini,Juventus,Defender,11,275,0,0,0,1,86,21,49,9,0,1,0,85.18333333333334,
Medhi Benatia,Juventus,Defender,6,281,1,33,0,1,90,19,59,8,0,3,0,63.849999999999994,
Alex Sandro,Juventus,Defender,8,201,1,50,0,9,89,17,44,3,0,1,0,64.71666666666667,
Andrea Barzagli,Juventus,Defender,10,181,0,0,0,4,92,20,48,3,0,1,0,65.0,
Benedikt Höwedes,Juventus,Defender,1,53,0,0,0,1,98,19,0,3,0,0,0,12.25,
Daniele Rugani,Juventus,Defender,9,194,1,50,0,1,89,19,48,6,0,2,0,70.05,
Stephan Lichtsteiner,Juventus,Defender,13,111,0,0,0,4,83,17,52,2,0,3,0,79.06666666666666,
Miralem Pjanic,Juventus,Midfielder,13,434,2,50,0,26,91,19,37,3,1,1,0,120.6,
Sami Khedira,Juventus,Midfielder,9,184,3,67,0,4,83,15,65,2,0,1,0,81.3,
Juan Cuadrado,Juventus,Midfielder,12,280,2,40,0,24,88,18,61,1,1,2,0,106.7,
Claudio Marchisio,Juventus,Midfielder,4,0,0,50,0,1,89,19,20,1,0,0,0,25.9,
Douglas Costa,Juventus,Midfielder,11,315,1,86,0,21,86,16,65,0,0,0,0,89.525,
Blaise Matuidi,Juventus,Midfielder,13,122,0,25,0,9,94,16,39,2,0,2,0,88.225,
Marko Pjaca,Juventus,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,
Kwadwo Asamoah,Juventus,Midfielder,8,189,0,33,0,9,89,18,57,3,0,0,0,72.2,
Stefano Sturaro,Juventus,Midfielder,4,41,0,50,0,3,84,18,50,4,0,1,0,47.4,
Rodrigo Bentancur,Juventus,Midfielder,8,84,0,50,0,5,88,16,50,1,0,0,0,54.6,
Gonzalo Higuaín,Juventus,Forward,14,428,8,68,0,12,78,15,57,1,0,1,0,125.1,
Moise Kean,Verona,Forward,11,18,1,44,0,7,76,12,36,1,0,4,0,63.75,
Paulo Dybala,Juventus,Forward,15,756,12,54,0,22,85,16,58,1,0,0,0,157.625,
